ticker,company,sector,peRatio,fwdPERatio,epsAndDivident,roa,roe,debtEq,marketCapBillions,weightedFactors,stockRank,Beta,riskProfileBeta
UAA,Under Armour Inc.,Consumer Goods,,0.845,0.753,0.537,0.361,0.325,0.037,0.35000,25,0.1,Conservative
UAL,United Continental Holdings Inc.,Services,,0.061,0.613,0.446,0.674,0.793,0.434,0.41010,19,1.03,Moderate
UDR,UDR Inc.,Financial,,0.99,0.301,0.388,0.321,0.73,0.176,0.19965,48,0.39,Conservative
UHS,Universal Health Services Inc.,Healthcare,,0.182,0.121,0.623,0.507,0.545,0.162,0.28460,37,0.96,Moderate
ULTA,Ulta Beauty Inc.,Services,,0.636,0.587,0.94,0.795,0,0.267,0.60455,3,0.53,Conservative
UNH,UnitedHealth Group Incorporated,Healthcare,,0.589,0.492,0.529,0.585,0.476,0.962,0.52170,8,0.64,Conservative
UNM,Unum Group,Financial,,0.146,0.351,0.192,0.333,0,0.251,0.25165,38,1.64,Aggressive
UNP,Union Pacific Corporation,Services,,0.513,0.22,0.674,0.656,0.519,0.89,0.50260,9,0.87,Moderate
UPS,United Parcel Service Inc.,Services,,0.494,0.583,0.73,0.998,0.992,0.908,0.63100,2,0.92,Moderate
URBN,Urban Outfitters Inc.,Services,,0.353,0.065,0.74,0.442,0,0.013,0.31110,24,0.61,Conservative
URI,United Rentals Inc.,Services,,0.142,0.123,0.446,0.819,0.932,0.261,0.29985,27,2.65,Aggressive
USB,U.S. Bancorp,Financial,,0.301,0.069,0.176,0.442,0.565,0.88,0.28780,30,0.87,Moderate
UTX,United Technologies Corporation,Industrial Goods,,0.484,0.646,0.529,0.579,0.601,0.906,0.52730,6,1.06,Moderate
V,Visa Inc.,Financial,,0.759,0.418,0,0,0.438,0.974,0.23460,35,0.96,Moderate
VAR,Varian Medical Systems Inc.,Healthcare,,0.716,0.617,0.718,0.593,0.202,0.16,0.46295,10,0.64,Conservative
VFC,V.F. Corporation,Consumer Goods,,0.613,0.265,0.799,0.694,0.579,0.615,0.49135,7,0.79,Moderate
VIAB,Viacom Inc.,Services,,0.013,0.547,0.573,0.803,0.859,0.164,0.40030,12,1.59,Aggressive
VLO,Valero Energy Corporation,Basic Materials,,0.226,0.674,0,0,0.291,0.68,0.24170,31,1.17,Moderate
VMC,Vulcan Materials Company,Industrial Goods,,0.855,0.845,0.478,0.297,0.462,0.41,0.39855,12,0.85,Moderate
VNO,Vornado Realty Trust,Financial,,0.954,0.607,0.404,0.505,0.829,0.335,0.33275,17,1.03,Moderate
VRSK,Verisk Analytics Inc.,Services,,0.841,0.2,0.771,0.825,0.807,0.355,0.42930,10,0.77,Moderate
VRSN,VeriSign Inc.,Technology,,0.809,0.484,0.956,0.861,0,0.2,0.59105,3,1.04,Moderate
VRTX,Vertex Pharmaceuticals Incorporated,Healthcare,,0.95,0.837,0.551,0.44,0.248,0.694,0.52915,4,1.66,Aggressive
VTR,Ventas Inc.,Financial,,0.908,0.67,0.323,0.194,0.69,0.533,0.30085,17,0.13,Conservative
VZ,Verizon Communications Inc.,Technology,,0.166,0.593,0.579,0.944,0.948,0.952,0.59495,2,0.56,Conservative
WAT,Waters Corporation,Healthcare,,0.795,0.323,0.819,0.684,0.49,0.371,0.46555,4,0.82,Moderate
WBA,Walgreens Boots Alliance Inc.,Services,,0.105,0.039,0.521,0.462,0.325,0.845,0.39005,7,1.22,Moderate
WDC,Western Digital Corporation,Technology,,0.035,0.636,0.184,0.119,0.702,0.601,0.25295,19,1.18,Moderate
WEC,WEC Energy Group Inc.,Utilities,,0.644,0.575,0.341,0.343,0.686,0.498,0.31700,11,0.14,Conservative
WFC,Wells Fargo & Company,Financial,,0.212,0.119,0.14,0.375,0.748,0.978,0.27335,16,0.95,Moderate
WHR,Whirlpool Corporation,Consumer Goods,,0.079,0.46,0.392,0.541,0.718,0.242,0.30185,12,1.89,Aggressive
WLTW,Willis Towers Watson Public Limited Company,Financial,,0.396,0.694,0.192,0.142,0.285,0.501,0.29400,13,0.92,Moderate
WM,Waste Management Inc.,Industrial Goods,,0.757,0.769,0.595,0.742,0.813,0.686,0.54395,2,0.77,Moderate
WMB,The Williams Companies Inc.,Basic Materials,,0.886,0.577,0.166,0.228,0.904,0.541,0.23170,16,1.4,Moderate
WMT,Wal0Mart Stores Inc.,Services,,0.575,0.128,0.573,0.541,0.408,0.976,0.45850,4,0.34,Conservative
WRK,WestRock Company,Consumer Goods,,0.373,0.849,0.216,0.136,0.422,0.365,0.28860,11,0,Conservative
WU,The Western Union Company,Financial,,0.095,0.811,0.234,0.626,0.96,0.134,0.30800,9,1.03,Moderate
WY,Weyerhaeuser Company,Industrial Goods,,0.865,0.541,0.462,0.343,0.505,0.609,0.38075,5,1.43,Moderate
WYN,Wyndham Worldwide Corporation,Services,,0.369,0.21,0.521,0.97,0.982,0.208,0.35815,5,1.35,Moderate
WYNN,Wynn Resorts Limited,Services,,0.742,0.525,0,0,0,0.382,0.18140,12,1.74,Aggressive
XEC,Cimarex Energy Co.,Basic Materials,,0.75,0.853,0.563,0.404,0.43,0.228,0.41495,4,1.35,Moderate
XEL,Xcel Energy Inc.,Utilities,,0.621,0.396,0.291,0.321,0.757,0.577,0.27190,7,0.23,Conservative
XL,XL Group Ltd,Financial,,0.087,0.777,0.14,0.154,0.218,0.18,0.24310,8,1.04,Moderate
XLNX,Xilinx Inc.,Technology,,0.831,0.363,0.865,0.734,0.454,0.436,0.51415,2,1.08,Moderate
XOM,Exxon Mobil Corporation,Basic Materials,,0.658,0.744,0.355,0.194,0.186,0.982,0.46385,2,0.83,Moderate
XRAY,DENTSPLY SIRONA Inc.,Healthcare,,0.696,0.25,0.617,0.313,0.18,0.353,0.33510,3,1.28,Moderate
XRX,Xerox Corporation,Technology,,0.043,0.545,0,0,0.628,0.095,0.06520,6,1.17,Moderate
XYL,Xylem Inc.,Industrial Goods,,0.787,0.513,0.426,0.41,0.644,0.25,0.29720,3,1.15,Moderate
YUM,Yum! Brands Inc.,Services,,0.799,0.444,0,0,0,0.619,0.21260,4,0.86,Moderate
ZBH,Zimmer Biomet Holdings Inc.,Healthcare,,0.178,0.876,0.291,0.218,0.65,0.494,0.33625,2,1.18,Moderate
ZION,Zions Bancorporation,Financial,,0.317,0.787,0.099,0.188,0.136,0.154,0.24635,2,1.48,Moderate
ZTS,Zoetis Inc.,Healthcare,,0.825,0.918,0.827,0.924,0.9,0.662,0.66375,1,1.02,Moderate
ZTS1,Zoetis Inc.,Healthcare,.456,0.825,0.918,0.827,0.924,0.9,0.662,0.66375,1,1.02,Moderate
